timestep: 1008000, actor_loss: -346.86383056640625, critic_loss: 31.587692260742188	
timestep: 1011000, actor_loss: -346.33001708984375, critic_loss: 16.21785545349121	
timestep: 1014000, actor_loss: -340.2223815917969, critic_loss: 26.871295928955078	
timestep: 1017000, actor_loss: -344.38922119140625, critic_loss: 34.4467887878418	
timestep: 1020000, actor_loss: -340.68695068359375, critic_loss: 17.60305404663086	
timestep: 1023000, actor_loss: -346.98651123046875, critic_loss: 25.501373291015625	
timestep: 1026000, actor_loss: -356.0738525390625, critic_loss: 14.370945930480957	
timestep: 1029000, actor_loss: -339.84393310546875, critic_loss: 9.445478439331055	
timestep: 1032000, actor_loss: -341.6462707519531, critic_loss: 8.267939567565918	
timestep: 1035000, actor_loss: -343.90618896484375, critic_loss: 10.683978080749512	
timestep: 1038000, actor_loss: -344.45465087890625, critic_loss: 12.209441184997559	
timestep: 1041000, actor_loss: -342.44891357421875, critic_loss: 16.50418472290039	
timestep: 1044000, actor_loss: -344.5286865234375, critic_loss: 13.450756072998047	
timestep: 1047000, actor_loss: -336.6980895996094, critic_loss: 17.812259674072266	
timestep: 1050000, actor_loss: -331.17059326171875, critic_loss: 162.11387634277344	
timestep: 1053000, actor_loss: -335.0018310546875, critic_loss: 52.97415542602539	
timestep: 1056000, actor_loss: -353.5251159667969, critic_loss: 49.59739685058594	
timestep: 1059000, actor_loss: -336.12396240234375, critic_loss: 47.527225494384766	
timestep: 1062000, actor_loss: -345.9984130859375, critic_loss: 20.906692504882812	
timestep: 1065000, actor_loss: -339.92919921875, critic_loss: 11.161945343017578	
timestep: 1068000, actor_loss: -344.6170349121094, critic_loss: 53.49773025512695	
timestep: 1071000, actor_loss: -332.3670959472656, critic_loss: 371.606201171875	
timestep: 1074000, actor_loss: -330.6441650390625, critic_loss: 11.751246452331543	
timestep: 1077000, actor_loss: -332.4320068359375, critic_loss: 7.477544784545898	
timestep: 1080000, actor_loss: -350.340087890625, critic_loss: 9.322538375854492	
timestep: 1083000, actor_loss: -329.84014892578125, critic_loss: 15.59117317199707	
